# SOCKS5 代理列表
# 更新时间: 2026-09-20 04:24:58 (北京时间)
# 总数: 359
# 格式: socks5://IP:PORT


# Canada - 3 个代理
socks5://199.116.114.11:4145 # Score: 60.0, RT: 0.39s
socks5://192.252.214.17:4145 # Score: 60.0, RT: 0.38s
socks5://192.252.220.89:4145 # Score: 60.0, RT: 0.38s
socks5://68.71.242.118:4145 # Score: 60.0, RT: 0.38s
socks5://174.64.199.79:4145 # Score: 60.0, RT: 0.51s
socks5://98.178.72.30:4145 # Score: 60.0, RT: 0.51s
socks5://192.111.139.162:4145 # Score: 60.0, RT: 0.38s
socks5://192.252.211.193:4145 # Score: 60.0, RT: 0.38s
socks5://98.178.72.21:10919 # Score: 60.0, RT: 0.50s
socks5://68.71.240.210:4145 # Score: 60.0, RT: 0.38s
socks5://98.170.57.249:4145 # Score: 60.0, RT: 0.51s
socks5://87.247.159.27:1080 # Score: 60.0, RT: 0.99s
socks5://98.170.57.231:4145 # Score: 60.0, RT: 0.49s
socks5://192.252.215.2:4145 # Score: 60.0, RT: 0.38s
socks5://24.249.199.4:4145 # Score: 60.0, RT: 0.91s
socks5://199.116.112.6:4145 # Score: 60.0, RT: 0.38s
socks5://104.200.135.46:4145 # Score: 60.0, RT: 0.38s
socks5://184.181.217.206:4145 # Score: 60.0, RT: 0.50s
socks5://184.178.172.23:4145 # Score: 60.0, RT: 0.51s
socks5://72.37.217.3:4145 # Score: 60.0, RT: 0.38s
socks5://199.102.107.145:4145 # Score: 60.0, RT: 0.39s
socks5://72.205.0.93:4145 # Score: 60.0, RT: 0.50s
socks5://67.201.33.10:25283 # Score: 60.0, RT: 0.38s
socks5://72.37.216.68:4145 # Score: 60.0, RT: 0.38s
socks5://216.68.128.121:4145 # Score: 60.0, RT: 0.52s
socks5://174.75.211.193:4145 # Score: 60.0, RT: 0.50s
socks5://142.54.236.97:4145 # Score: 60.0, RT: 0.38s
socks5://45.74.31.40:10899 # Score: 60.0, RT: 0.76s
socks5://68.1.210.163:4145 # Score: 60.0, RT: 0.51s
socks5://199.58.184.97:4145 # Score: 60.0, RT: 0.38s
socks5://72.194.42.156:4145 # Score: 60.0, RT: 0.51s
socks5://184.178.172.11:4145 # Score: 60.0, RT: 0.50s
socks5://162.253.68.97:4145 # Score: 60.0, RT: 0.40s
socks5://192.252.216.86:4145 # Score: 60.0, RT: 0.38s
socks5://72.195.34.60:27391 # Score: 60.0, RT: 0.50s
socks5://135.148.120.20:1080 # Score: 60.0, RT: 0.38s
socks5://199.66.183.226:4145 # Score: 60.0, RT: 0.37s
socks5://184.170.245.148:4145 # Score: 60.0, RT: 0.38s
socks5://72.195.101.99:4145 # Score: 60.0, RT: 0.50s
socks5://142.54.232.6:4145 # Score: 60.0, RT: 0.39s
socks5://184.178.172.14:4145 # Score: 60.0, RT: 0.51s
socks5://199.58.185.9:4145 # Score: 60.0, RT: 0.38s
socks5://184.181.217.213:4145 # Score: 60.0, RT: 0.50s
socks5://208.102.51.6:58208 # Score: 60.0, RT: 0.54s
socks5://184.181.217.220:4145 # Score: 60.0, RT: 0.50s
socks5://72.195.34.41:4145 # Score: 60.0, RT: 0.51s
socks5://70.166.167.55:57745 # Score: 60.0, RT: 0.52s
socks5://199.66.183.251:4145 # Score: 60.0, RT: 0.44s
socks5://172.86.88.139:1082 # Score: 60.0, RT: 0.16s
socks5://98.188.47.150:4145 # Score: 60.0, RT: 0.50s
socks5://184.170.248.5:4145 # Score: 60.0, RT: 0.38s
socks5://174.77.111.198:49547 # Score: 60.0, RT: 0.49s
socks5://24.249.199.12:4145 # Score: 60.0, RT: 0.50s
socks5://142.54.237.38:4145 # Score: 60.0, RT: 0.38s
socks5://45.74.31.23:4792 # Score: 60.0, RT: 0.99s
socks5://45.40.136.39:45741 # Score: 60.0, RT: 0.30s
socks5://184.170.251.30:11288 # Score: 60.0, RT: 0.38s
socks5://192.111.129.150:4145 # Score: 60.0, RT: 0.38s
socks5://206.220.175.2:4145 # Score: 60.0, RT: 0.47s
socks5://68.71.254.6:4145 # Score: 60.0, RT: 0.39s
socks5://68.71.245.206:4145 # Score: 60.0, RT: 0.38s
socks5://107.152.98.5:4145 # Score: 60.0, RT: 0.38s
socks5://67.201.58.190:4145 # Score: 60.0, RT: 0.38s
socks5://72.214.108.67:4145 # Score: 60.0, RT: 0.50s
socks5://142.54.235.9:4145 # Score: 60.0, RT: 0.38s
socks5://72.195.34.58:4145 # Score: 60.0, RT: 0.51s
socks5://184.185.2.12:4145 # Score: 60.0, RT: 0.53s
socks5://184.178.172.13:15311 # Score: 60.0, RT: 0.49s
socks5://72.194.42.131:4145 # Score: 60.0, RT: 0.49s
socks5://83.147.217.103:1080 # Score: 60.0, RT: 0.10s
socks5://98.190.239.3:4145 # Score: 60.0, RT: 0.50s
socks5://67.201.59.70:4145 # Score: 60.0, RT: 0.39s
socks5://198.8.84.3:4145 # Score: 60.0, RT: 0.38s
socks5://192.252.214.20:15864 # Score: 60.0, RT: 0.38s
socks5://192.111.137.34:18765 # Score: 60.0, RT: 0.38s
